1	1	The Fate of the Furious	Uni.	$38,408,415	-61.1%	4,329	+19	$8,872	$163,304,635	$250	2
2	2	The Boss Baby	Fox	$12,712,144	-20.6%	3,697	-46	$3,439	$136,954,014	-	4
3	3	Beauty and the Beast (2017)	BV	$9,662,645	-29.5%	3,315	-277	$2,915	$470,787,029	$160	6
4	5	Going in Style (2017)	WB (NL)	$4,910,895	-21.9%	3,038	-38	$1,616	$31,671,738	$25	3
5	4	Smurfs: The Lost Village	Sony	$4,880,377	-27.3%	2,737	-873	$1,783	$33,418,362	$60	3
6	N	Born in China	BV	$4,790,367	-	1,508	-	$3,177	$4,790,367	-	1
7	N	Unforgettable (2017)	WB	$4,785,431	-	2,417	-	$1,980	$4,785,431	$12	1
8	6	Gifted	FoxS	$4,558,508	+47.5%	1,986	+840	$2,295	$10,773,300	$7	3
9	N	The Promise (2017)	ORF	$4,095,718	-	2,251	-	$1,820	$4,095,718	$90	1
10	28	The Lost City of Z	BST	$2,121,540	+1,825.6%	614	+610	$3,455	$2,270,953	-	2
11	N	Phoenix Forgotten	CLF	$1,816,499	-	1,626	-	$1,117	$1,816,499	$2.8	1
12	7	Get Out	Uni.	$1,668,555	-44.1%	965	-459	$1,729	$170,306,700	$4.5	9
13	9	The Case for Christ	PFR	$1,584,587	-42.6%	1,247	-139	$1,271	$11,361,296	-	3
14	10	Kong: Skull Island	WB	$1,491,445	-44.9%	1,203	-815	$1,240	$163,915,391	$185	7
15	12	The Zookeeper's Wife	Focus	$1,398,325	-30.9%	1,029	-28	$1,359	$13,162,475	-	4
16	8	Power Rangers (2017)	LGF	$1,365,550	-51.5%	1,292	-879	$1,057	$83,052,602	$100	5
17	N	Free Fire	A24	$994,431	-	1,070	-	$929	$994,430	-	1
18	13	Logan	Fox	$972,143	-49.8%	754	-661	$1,289	$223,400,405	$97	8
19	11	Ghost in the Shell (2017)	Par.	$883,253	-64.2%	913	-1,222	$967	$39,114,757	$110	4
20	17	Colossal	Neon	$579,388	+27.5%	224	+126	$2,587	$1,352,493	-	3
21	19	Their Finest	STX	$533,013	+53.7%	176	+124	$3,028	$1,117,347	-	3
22	16	Life (2017)	Sony	$448,209	-29.1%	730	+125	$614	$29,321,719	$58	5
23	14	Your Name.	FUN	$389,571	-47.0%	168	-124	$2,319	$4,077,345	-	3
24	18	The LEGO Batman Movie	WB	$346,476	-8.0%	291	-53	$1,191	$174,319,215	$80	11
25	15	The Shack	LG/S	$276,259	-57.8%	374	-674	$739	$56,706,948	-	8
26	25	Hidden Figures	Fox	$183,793	+18.6%	160	-34	$1,149	$168,831,307	$25	18
27	21	CHiPs	WB	$162,596	-39.6%	245	-148	$664	$18,176,244	$25	5
28	20	Split	Uni.	$138,080	-50.9%	119	-9	$1,160	$137,991,460	$9	14
29	24	John Wick: Chapter Two	LG/S	$124,128	-24.3%	181	-27	$686	$91,970,516	-	11
30	30	Norman: The Moderate Rise and Tragic Fall of a New York Fixer	SPC	$124,125	+25.1%	18	+13	$6,896	$259,560	-	2
31	29	La La Land	LG/S	$98,594	-6.1%	148	-71	$666	$151,058,124	$30	20
32	23	Tommy's Honour	RAtt.	$79,511	-62.0%	89	-78	$893	$410,616	-	2
