1	N	Doctor Strange	BV	$85,058,311	-	3,882	-	$21,911	$85,058,311	$165	1
2	N	Trolls	Fox	$46,581,142	-	4,060	-	$11,473	$46,581,142	$125	1
3	N	Hacksaw Ridge	LGF	$15,190,758	-	2,886	-	$5,264	$15,190,758	$40	1
4	1	Boo! A Madea Halloween	LGF	$7,731,797	-55.1%	2,234	-65	$3,461	$64,921,852	$20	3
5	2	Inferno	Sony	$6,165,987	-58.5%	3,576	-	$1,724	$25,973,917	$75	2
6	4	The Accountant	WB	$5,872,303	-30.8%	2,688	-714	$2,185	$70,780,497	$44	4
7	3	Jack Reacher: Never Go Back	Par.	$5,453,273	-43.4%	3,079	-701	$1,771	$49,113,273	$60	3
8	5	Ouija: Origin of Evil	Uni.	$3,869,765	-45.6%	2,380	-788	$1,626	$31,259,015	$9	3
9	6	The Girl on the Train (2016)	Uni.	$2,690,575	-38.7%	1,572	-1,186	$1,712	$70,647,940	$45	5
10	7	Miss Peregrine's Home for Peculiar Children	Fox	$2,050,229	-49.7%	1,710	-1,087	$1,199	$83,284,618	$110	6
11	16	Moonlight (2016)	A24	$1,235,275	+45.3%	83	+47	$14,883	$2,989,973	$4	3
12	8	Keeping Up with the Joneses	Fox	$1,092,302	-67.8%	1,064	-1,958	$1,027	$13,307,538	$40	3
13	9	Storks	WB	$1,000,558	-64.9%	1,155	-746	$866	$69,968,062	$70	7
14	10	Ae Dil Hai Mushkil	FIP	$785,506	-64.1%	296	-6	$2,654	$3,622,071	-	2
15	11	Deepwater Horizon	LG/S	$750,084	-64.2%	783	-1,271	$958	$59,919,222	$110	6
16	12	Kevin Hart: What Now?	Uni.	$581,805	-66.0%	453	-1,203	$1,284	$23,132,285	$9.9	4
17	15	Sully	WB	$526,321	-43.5%	454	-401	$1,159	$123,286,540	$60	9
18	13	The Magnificent Seven (2016)	Sony	$452,520	-66.2%	490	-840	$924	$92,238,549	$90	7
19	14	Middle School: The Worst Years of My Life	LGF	$405,382	-67.9%	485	-810	$836	$19,120,167	$8.5	5
20	20	A Man Called Ove	MBox	$368,405	+0.8%	167	+17	$2,206	$1,863,381	-	6
21	17	Denial	BST	$292,447	-53.2%	218	-369	$1,342	$3,582,304	-	6
