1	N	Rogue One: A Star Wars Story	BV	$155,081,681	-	4,157	-	$37,306	$155,081,681	$200	1
2	1	Moana	BV	$12,726,232	-31.3%	3,587	-288	$3,548	$162,920,977	-	4
3	2	Office Christmas Party	Par.	$8,587,528	-49.2%	3,210	-	$2,675	$31,655,795	$45	2
4	N	Collateral Beauty	WB (NL)	$7,102,085	-	3,028	-	$2,345	$7,102,085	$36	1
5	3	Fantastic Beasts and Where To Find Them	WB	$5,071,323	-51.3%	3,036	-590	$1,670	$207,722,418	$180	5
6	7	Manchester by the Sea	RAtt.	$4,223,828	+33.1%	1,206	+840	$3,502	$14,084,133	$9	5
7	15	La La Land	LG/S	$4,102,091	+365.6%	200	+195	$20,510	$5,342,257	$30	2
8	4	Arrival	Par.	$2,972,958	-46.8%	2,157	-958	$1,378	$86,666,325	$47	6
9	5	Doctor Strange	BV	$2,210,912	-51.3%	1,930	-833	$1,146	$226,260,939	$165	7
10	8	Nocturnal Animals	Focus	$1,407,088	-55.5%	1,246	-16	$1,129	$8,828,454	-	5
11	9	Trolls	Fox	$1,370,880	-54.6%	1,714	-1,072	$800	$147,426,817	$125	7
12	6	Allied	Par.	$1,323,176	-66.6%	1,625	-1,393	$814	$38,532,093	$85	4
13	10	Hacksaw Ridge	LGF	$956,516	-58.2%	1,341	-936	$713	$62,854,620	$40	7
14	12	Almost Christmas	Uni.	$608,555	-55.8%	720	-538	$845	$41,208,485	$17	6
15	20	Jackie	FoxS	$573,645	+16.5%	84	+58	$6,829	$1,616,380	-	3
16	11	Miss Sloane	EC	$448,555	-75.7%	1,463	-185	$307	$3,188,191	-	4
17	18	Moonlight (2016)	A24	$378,081	-30.4%	305	-144	$1,240	$11,479,757	$4	9
18	13	Bad Santa 2	BG	$236,765	-80.8%	414	-1,620	$572	$17,544,512	$26	4
19	16	Loving	Focus	$217,182	-65.7%	396	-176	$548	$7,111,424	-	7
20	14	Incarnate	BH Tilt	$184,105	-82.9%	318	-1,419	$579	$4,723,514	$5	3
21	21	The Accountant	WB	$155,617	-64.6%	252	-203	$618	$85,320,070	$44	10
22	25	Storks	WB	$146,951	-20.2%	235	-32	$625	$71,888,169	$70	13
23	24	The Eagle Huntress	SPC	$141,633	-29.3%	112	-10	$1,265	$1,714,912	-	7
24	26	Lion	Wein.	$132,511	-21.3%	16	+1	$8,282	$703,585	$12	4
25	N	Fences	Par.	$129,462	-	4	-	$32,366	$129,462	$24	1
26	23	Jack Reacher: Never Go Back	Par.	$111,152	-46.1%	235	-55	$473	$58,274,229	$60	9
27	17	The Edge of Seventeen	STX	$110,824	-82.0%	221	-711	$501	$14,260,193	$9	5
28	N	The Wasted Times	CL	$95,514	-	20	-	$4,776	$95,514	-	1
29	27	Miss Peregrine's Home for Peculiar Children	Fox	$88,288	-34.7%	181	-31	$488	$86,690,641	$110	12
30	37	Boo! A Madea Halloween	LGF	$76,327	+59.1%	136	+10	$561	$73,159,525	$20	9
31	-	The Polar Express (2016 re-issue)	WB	$67,544	-	65	-	$1,039	$651,957	-	6
32	30	The Secret Life of Pets	Uni.	$56,590	-35.9%	165	-18	$343	$368,223,370	$75	24
33	31	The Girl on the Train (2016)	Uni.	$41,380	-49.3%	112	-42	$369	$75,311,445	$45	11
34	33	Sully	WB	$41,076	-43.2%	103	-74	$399	$124,830,087	$60	15
35	39	Things To Come	IFC	$38,138	-17.6%	22	+8	$1,734	$155,107	-	3
36	38	Elle	SPC	$37,044	-21.5%	24	-3	$1,544	$697,740	-	6
37	40	A Beautiful Planet	Imax	$36,793	-16.7%	31	-	$1,187	$7,895,708	-	34
38	N	Neruda	Orch.	$29,402	-	3	-	$9,801	$29,402	-	1
39	47	Shut In	EC	$24,302	+10.9%	78	+25	$312	$6,864,649	-	6
40	41	The Magnificent Seven (2016)	Sony	$19,833	-53.0%	59	-40	$336	$93,381,044	$90	13
41	53	The Brand New Testament	MBox	$19,812	+90.1%	17	+11	$1,165	$35,845	-	2
42	44	The Handmaiden	Magn.	$18,848	-46.0%	23	-17	$819	$1,814,981	-	9
43	36	A Man Called Ove	MBox	$18,547	-62.5%	33	-27	$562	$3,288,622	-	12
44	35	Inferno	Sony	$17,115	-72.4%	64	-64	$267	$34,097,076	$75	8
45	46	Keeping Up with the Joneses	Fox	$13,285	-46.0%	35	-43	$380	$14,883,425	$40	9
46	29	Believe (2016)	Free	$12,477	-89.9%	42	-345	$297	$874,184	-	3
47	45	Don't Breathe	SGem	$11,321	-64.7%	37	-37	$306	$89,210,468	$9.9	17
